method,evaluation,mean_best_so_far
reelicit,1,0.68000000
reelicit,2,0.72200000
reelicit,3,0.73800000
reelicit,4,0.74800000
reelicit,5,0.77200000
reelicit,6,0.78000000
reelicit,7,0.78200000
reelicit,8,0.78200000
reelicit,9,0.78200000
reelicit,10,0.78400000
reelicit,11,0.78600000
reelicit,12,0.78600000
reelicit,13,0.78600000
reelicit,14,0.78600000
reelicit,15,0.78600000
reelicit,16,0.78600000
reelicit,17,0.78600000
reelicit,18,0.78600000
reelicit,19,0.78600000
reelicit,20,0.79400000
reelicit,21,0.79400000
reelicit,22,0.79400000
reelicit,23,0.79400000
reelicit,24,0.79400000
reelicit,25,0.79600000
reelicit,26,0.79600000
reelicit,27,0.79600000
reelicit,28,0.79600000
reelicit,29,0.79600000
reelicit,30,0.79600000
ape,1,0.68400000
ape,2,0.68600000
ape,3,0.70800000
ape,4,0.74000000
ape,5,0.76600000
ape,6,0.76800000
ape,7,0.76800000
ape,8,0.77000000
ape,9,0.77000000
ape,10,0.77600000
ape,11,0.77600000
ape,12,0.77600000
ape,13,0.77600000
ape,14,0.78000000
ape,15,0.78000000
ape,16,0.78000000
ape,17,0.78000000
ape,18,0.78000000
ape,19,0.78800000
ape,20,0.78800000
ape,21,0.78800000
ape,22,0.78800000
ape,23,0.78800000
ape,24,0.78800000
ape,25,0.78800000
ape,26,0.78800000
ape,27,0.78800000
ape,28,0.78800000
ape,29,0.79200000
ape,30,0.79200000
opro,1,0.68800000
opro,2,0.69800000
opro,3,0.73600000
opro,4,0.73600000
opro,5,0.74200000
opro,6,0.74200000
opro,7,0.74200000
opro,8,0.74200000
opro,9,0.74200000
opro,10,0.74200000
opro,11,0.74200000
opro,12,0.74200000
opro,13,0.74200000
opro,14,0.74200000
opro,15,0.74200000
opro,16,0.74200000
opro,17,0.74200000
opro,18,0.74200000
opro,19,0.74200000
opro,20,0.74200000
opro,21,0.74600000
opro,22,0.74600000
opro,23,0.74800000
opro,24,0.74800000
opro,25,0.74800000
opro,26,0.74800000
opro,27,0.74800000
opro,28,0.74800000
opro,29,0.74800000
opro,30,0.74800000
promptbreeder,1,0.66000000
promptbreeder,2,0.71000000
promptbreeder,3,0.71800000
promptbreeder,4,0.73400000
promptbreeder,5,0.76200000
promptbreeder,6,0.76400000
promptbreeder,7,0.78200000
promptbreeder,8,0.78200000
promptbreeder,9,0.78200000
promptbreeder,10,0.78200000
promptbreeder,11,0.78200000
promptbreeder,12,0.78400000
promptbreeder,13,0.78400000
promptbreeder,14,0.78400000
promptbreeder,15,0.78400000
promptbreeder,16,0.78400000
promptbreeder,17,0.78400000
promptbreeder,18,0.78400000
promptbreeder,19,0.78400000
promptbreeder,20,0.78400000
promptbreeder,21,0.78400000
promptbreeder,22,0.78400000
promptbreeder,23,0.78400000
promptbreeder,24,0.78400000
promptbreeder,25,0.78800000
promptbreeder,26,0.79000000
promptbreeder,27,0.79000000
promptbreeder,28,0.79000000
promptbreeder,29,0.79800000
promptbreeder,30,0.79800000
textgrad,1,0.69200000
textgrad,2,0.70000000
textgrad,3,0.71000000
textgrad,4,0.72000000
textgrad,5,0.73200000
textgrad,6,0.75200000
textgrad,7,0.75200000
textgrad,8,0.75200000
textgrad,9,0.75400000
textgrad,10,0.75600000
textgrad,11,0.75600000
textgrad,12,0.75600000
textgrad,13,0.75800000
textgrad,14,0.75800000
textgrad,15,0.76000000
textgrad,16,0.76200000
textgrad,17,0.76200000
textgrad,18,0.76600000
textgrad,19,0.76600000
textgrad,20,0.76600000
textgrad,21,0.76600000
textgrad,22,0.76800000
textgrad,23,0.76800000
textgrad,24,0.76800000
textgrad,25,0.76800000
textgrad,26,0.77200000
textgrad,27,0.77200000
textgrad,28,0.77200000
textgrad,29,0.77200000
textgrad,30,0.77200000
no_refinement,1,0.68600000
no_refinement,2,0.70400000
no_refinement,3,0.72800000
no_refinement,4,0.75000000
no_refinement,5,0.75000000
no_refinement,6,0.75200000
no_refinement,7,0.75800000
no_refinement,8,0.75800000
no_refinement,9,0.75800000
no_refinement,10,0.76400000
no_refinement,11,0.76400000
no_refinement,12,0.76400000
no_refinement,13,0.76400000
no_refinement,14,0.77400000
no_refinement,15,0.77400000
no_refinement,16,0.77400000
no_refinement,17,0.77400000
no_refinement,18,0.77400000
no_refinement,19,0.77400000
no_refinement,20,0.77400000
no_refinement,21,0.77400000
no_refinement,22,0.77400000
no_refinement,23,0.77600000
no_refinement,24,0.77600000
no_refinement,25,0.77600000
no_refinement,26,0.77600000
no_refinement,27,0.77600000
no_refinement,28,0.77600000
no_refinement,29,0.77600000
no_refinement,30,0.77600000
no_bo,1,0.69800000
no_bo,2,0.71400000
no_bo,3,0.73800000
no_bo,4,0.76600000
no_bo,5,0.76600000
no_bo,6,0.77200000
no_bo,7,0.77200000
no_bo,8,0.77400000
no_bo,9,0.78000000
no_bo,10,0.78000000
no_bo,11,0.78000000
no_bo,12,0.78200000
no_bo,13,0.78400000
no_bo,14,0.78400000
no_bo,15,0.78400000
no_bo,16,0.78400000
no_bo,17,0.78400000
no_bo,18,0.78400000
no_bo,19,0.78400000
no_bo,20,0.78800000
no_bo,21,0.78800000
no_bo,22,0.78800000
no_bo,23,0.78800000
no_bo,24,0.78800000
no_bo,25,0.78800000
no_bo,26,0.78800000
no_bo,27,0.78800000
no_bo,28,0.78800000
no_bo,29,0.78800000
no_bo,30,0.78800000
static_features,1,0.68600000
static_features,2,0.70600000
static_features,3,0.73400000
static_features,4,0.74200000
static_features,5,0.74600000
static_features,6,0.74600000
static_features,7,0.74800000
static_features,8,0.74800000
static_features,9,0.74800000
static_features,10,0.74800000
static_features,11,0.75600000
static_features,12,0.75600000
static_features,13,0.75600000
static_features,14,0.75600000
static_features,15,0.75800000
static_features,16,0.76000000
static_features,17,0.76000000
static_features,18,0.76000000
static_features,19,0.76000000
static_features,20,0.76000000
static_features,21,0.76000000
static_features,22,0.76000000
static_features,23,0.76000000
static_features,24,0.76000000
static_features,25,0.76200000
static_features,26,0.76200000
static_features,27,0.76200000
static_features,28,0.76200000
static_features,29,0.76200000
static_features,30,0.76200000
independent_extraction,1,0.66600000
independent_extraction,2,0.73200000
independent_extraction,3,0.74000000
independent_extraction,4,0.75600000
independent_extraction,5,0.76400000
independent_extraction,6,0.76400000
independent_extraction,7,0.76400000
independent_extraction,8,0.79200000
independent_extraction,9,0.79600000
independent_extraction,10,0.79600000
independent_extraction,11,0.79600000
independent_extraction,12,0.79600000
independent_extraction,13,0.79600000
independent_extraction,14,0.79600000
independent_extraction,15,0.79600000
independent_extraction,16,0.79600000
independent_extraction,17,0.79600000
independent_extraction,18,0.79600000
independent_extraction,19,0.79800000
independent_extraction,20,0.79800000
independent_extraction,21,0.79800000
independent_extraction,22,0.79800000
independent_extraction,23,0.79800000
independent_extraction,24,0.79800000
independent_extraction,25,0.80200000
independent_extraction,26,0.80200000
independent_extraction,27,0.80200000
independent_extraction,28,0.80600000
independent_extraction,29,0.80600000
independent_extraction,30,0.80600000
